第X台,#genre#
ELEVEN SPORTS2,http://207.110.52.61:8080/s/hls/5/9335/eleven_sports_2_303/1/1/index.m3u8
MoMo綜合台,rtmp://59.124.75.153/sat/tv761
博斯運動一台,
緯來日本ᴴᴰ,http://198.16.106.62:8278/streams/d/videolandjapan_zero/playlist.m3u8
國興衛視,p2p://fccseuro.pvbox.live:18912/5b1409f2000ebd78d6d3484d2e182303
FOX,http://198.16.106.62:8278/streams/d/foxhd_zero/playlist.m3u8
三立戲劇,
Z頻道,p2p://fccseuro.pvbox.live:18912/5b14094a00088a56c163c32bb6faf8bc
Animax(HD),
MTV,p2p://fccseuro.pvbox.live:18912/5b593be200077048bf597b7545d9709a
momo,
衛視洋片台HD,
寰宇新聞台灣台,
NHK華語視界,https://nhkw-zh-hlscomp.akamaized.net/8thz5iufork8wjip/playlist.m3u8
八大娛樂台HD,
三立iNEWS HD,
非凡商業ᴴᴰ,mitv://fccseuro.pvbox.live:18912/5b140a9a0001dd5bdc536c45f7b967f6
Waku Waku Japan,
環宇財經台,
音樂20,http://m2otv-lh.akamaihd.net/i/m2oTv_1@186074/index_600_av-p.m3u8
地理悠人,http://198.16.106.62:8278/streams/d/natgeopeople_zero/playlist.m3u8
NHK,
旺TV,http://61.58.60.230:9319/live/80.m3u8
Thrill恐怖電影,
AXN亞洲HD,
新視覺,mitv://fccseuro.pvbox.live:18912/5b1409230000ac47dc854141c2c16098
愛自然Love Nature,
信吉電視台HD,
華藏電視台,http://118.163.88.61:1935/hwazanlivetv/live.stream/playlist.m3u8
美食星球,http://198.16.106.62:8278/streams/d/foodplanet_zero/playlist.m3u8
中華美食,http://198.16.106.62:8278/streams/d/asiafood_zero/playlist.m3u8
佛衛慈悲台,http://btsw-ott2b.cdn.hinet.net/live_bts/btsw01/chunklist.m3u8?fbclid=IwAR0tOOH5nMOCvkCFTXbHgyO6P95nuOS3MNCfYDflXYkqsUVGfApmPOLWeR0
EYE TV旅遊,
Ci罪案偵緝,
H歷史,
H II歷史2,
天良綜合台HD,
寰宇綜合台HD,
壹電視綜合台HD,
華視教育體育文化ᴴᴰ台,http://185.207.176.189:8080/channels/tw-502/playlist.m3u8
民視旅遊,http://seb.sason.top/ptv/ftv.php?id=ly
民視綜藝,http://seb.sason.top/ptv/ftv.php?id=zy
龍華動畫台,
龍華電影台,
龍華洋片,p2p://fccsovh.pvbox.live:18912/5b140917000c1e9b03053da5fe1d342e.ts
大立電視台,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
龍華戲劇台,
龍華偶像,
龍華日韓,
國會頻道1台HD,http://61.58.60.230:9319/live/123.m3u8
國會頻道2台HD,http://185.207.176.189:8080/channels/tw-505/playlist.m3u8
幸福空間居家台HD,http://61.58.60.230:9319/live/125.m3u8
高點育樂台HD,
LUXE TV,
新傳媒 U,http://185.180.221.194:8278/streams/d/ChannelU/playlist.m3u8
中視經典ᴴᴰ,http://185.207.176.189:8080/channels/tw-102/playlist.m3u8
唯心電視台,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8
曼迪日本臺,
i-Fun動漫台,
大愛海外,https://pulltv3.wanfudaluye.com/live/tv3.m3u8
靖天歡樂台,http://61.58.60.230:9319/live/201.m3u8
靖天育樂台,http://61.58.60.230:9319/live/204.m3u8
靖天國際台,http://61.58.60.230:9319/live/205.m3u8
靖天資訊台,http://61.58.60.230:9319/live/202.m3u8
靖天卡通台,http://61.58.60.230:9319/live/207.m3u8
靖天電影台,p2p://fccsovh.pvbox.live:18912/5b14093f0000e91ed352c047ce05b9b3.ts
靖天映畫,http://61.58.60.230:9319/live/243.m3u8
靖洋卡通台,http://61.58.60.230:9319/live/206.m3u8
靖洋戲劇台,http://61.58.60.230:9319/live/203.m3u8
ELTA體育1台,rtmp://59.124.75.153:1935/sat/md031 
ELTA體育2台,
ELTA體育3台,http://198.16.106.62:8278/streams/d/eltasport3_zero/playlist.m3u8
FOX_SPORTS_1,https://livecdn.fptplay.net/qnetlive/foxsports_2000.stream/chunklist.m3u8
FOX_SPORTS_2,https://livecdn.fptplay.net/qnetlive/foxsports2_2000.stream/chunklist.m3u8
FOX_SPORTS_3,https://livecdn.fptplay.net/qnetlive/foxsports3_hls.smil/chunklist_b2500000.m3u8
WWE Network,http://50.7.161.82:8278/streams/d/wwe_pye/playlist.m3u8
WWE Superslam,http://stream.tvtap.live:8081/live/wwe.stream/chunks.m3u8
民視第一台ᴴᴰ,http://185.207.176.189:8080/channels/tw-301/playlist.m3u8
民視台灣台ᴴᴰ,http://185.207.176.189:8080/channels/tw-304/playlist.m3u8
中視菁采ᴴᴰ,http://185.207.176.189:8080/channels/tw-103/playlist.m3u8
中視新聞ᴴᴰ,http://185.207.176.189:8080/channels/tw-101/playlist.m3u8
台視新聞,http://seb.sason.top/sc/tsxw_fhd.m3u8
台視財經台HD,
台視綜合台HD,
EYE TV戲劇台,
FOX動作電影Action,http://198.16.106.62:8278/streams/d/foxaction_zero/playlist.m3u8
Outdoor戶外,
one,
希望電視台,
J SPORTS 1,
J SPORTS 2,
J SPORTS 3,
J SPORTS 4,
SKY SPORTS F1,
高爾夫美國,https://www.livedoomovie.com/02_golfhd_720p/chunklist.m3u8
Espn,mitv://fccsovh.pvbox.live:18912/5ee9c8950007c7526d208d5372e27eaa.ts
Fight Sport HD,
NBA,mitv://fccsovh.pvbox.live:18912/5b593bea000144c6daeee1360e5f80f7.ts
MLB,mitv://fccsovh.pvbox.live:18912/5b593bda000bf009f671f7f9b3653205.ts
Red Bull TV,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8
NBC_Sports_Network,
viutv,mitv://fccseuro.pvbox.live:18912/5dbeb1c70009386833caae6ccb5d0800.ts
電影第一台,
FOX警匪電影CRIME,http://198.16.106.62:8278/streams/d/foxcrime_zero/playlist.m3u8
靖天戲劇台,
靖天日本台,
美亞電影,mitv://fccseuro.pvbox.live:18912/5b14098f00079615addc7da33962b735
爆谷台,
天映經典,p2p://fccseuro.pvbox.live:18912/5d650488000e67a1df9eba9288b40109
天映頻道,mitv://fccseuro.pvbox.live:18912/5d650486000c7ef46a640da928dbefc1.ts
CINEMA WORLD,p2p://fccsovh.pvbox.live:18912/5b1409770005ae3cb85008d8b6793772.ts
東森亞洲幼幼,
Kids TV卡通台,http://198.16.106.62:8278/streams/d/KidsTV/playlist.m3u8
優視頻道,http://1-fss24-s0.streamhoster.com/lv_uchannel/_definst_/broadcast1/chunklist.m3u8
LIFETIME,
ELEVEN+,rtmp://59.124.75.153/sat/md021 
GEM,
佛衛慈悲台2,http://btsu4k5-hisng.cdn.hinet.net/live/pool/btsLive2/hievent-hls/btsLive2.m3u8
孝廉電視台,http://cdn257.ccdntech.com/live-http/_definst_/vod257_Live/live/playlist.m3u8
生命台,http://211.73.19.201/live/AB167E56-808C-81D4-6471-76DC400D5192.m3u8?fmt=x264_1200K_ts&cpid=admin&size=1920X1080
淨空老法師,http://amtbsg.cloudapp.net/liveedge/_definst_/livetv/chunklist_w577962608.m3u8
ELEVEN1,rtmp://161.202.204.248:1935/sat/tv731 
France法國24小時,
Fashion TV,http://fashiontv-fashiontv-4-de.samsung.wurl.com/manifest/playlist.m3u8
ELEVEN2,http://198.16.106.62:8278/streams/d/luxetv_zero/playlist.m3u8
